Domain Code,Domain,Area Code,Area,Item Code (CPC),Item(M49),Flag,Flag Description,Unit,2015,2016,2017,2018,2019,2020,2021,Element,Element Code
TCL,Crops and livestock products,40,Austria,F2071,Bovine Meat ,A,Official figure ,1000 US$,543817.9,500433.84,550245.07,561087.62,546331.84,526121.43,589371.34,Export Value,5922
TCL,Crops and livestock products,40,Austria,F1944,Cereals ,A,Official figure ,1000 US$,413436.91,416309.32,451317.42,433067.23,461881.52,527424.05,592326.72,Export Value,5922
TCL,Crops and livestock products,40,Austria,F1887,Dairy Products ,A,Official figure ,1000 US$,1219787.92,1196282.33,1314954.84,1423163.86,1369810.97,1483644.97,1532730.09,Export Value,5922
TCL,Crops and livestock products,40,Austria,F1782,Eggs ,A,Official figure ,1000 US$,22726.14,25483.68,33349.16,44926.9,44929.2,43546,30247.17,Export Value,5922
TCL,Crops and livestock products,40,Austria,F1892,Fodder and Feeding Stuff ,A,Official figure ,1000 US$,756577.02,748014.6,838420.14,961041.09,949072.54,1041044.61,1194880.85,Export Value,5922
TCL,Crops and livestock products,40,Austria,F1802,Fruit ,A,Official figure ,1000 US$,788426.49,862184.92,835437.11,932206.63,862615.97,961056.17,1066515.03,Export Value,5922
TCL,Crops and livestock products,40,Austria,F1773,Nuts ,A,Official figure ,1000 US$,104003.71,103224.82,103033.67,114679.89,95595.15,102044.85,113395.55,Export Value,5922
TCL,Crops and livestock products,40,Austria,F2073,Pigmeat (meat equivalent) ,A,Official figure ,1000 US$,638839.02,678612.59,741575.94,735178.01,792229.02,854409.39,915283.58,Export Value,5922
TCL,Crops and livestock products,40,Austria,F2074,Poultry Meat ,A,Official figure ,1000 US$,262252.18,279842.77,304385.4,338463.56,332746.7,326225.76,379179.57,Export Value,5922
TCL,Crops and livestock products,40,Austria,F1719,Roots and Tubers ,A,Official figure ,1000 US$,48655.2,56755.56,68232.47,66522.35,62416.48,61271.08,73357.86,Export Value,5922
TCL,Crops and livestock products,40,Austria,F1734,Vegetables ,A,Official figure ,1000 US$,246934.72,270084.81,272905.93,302568.66,305754.61,305521.83,352741.71,Export Value,5922
TCL,Crops and livestock products,40,Austria,F2071,Bovine Meat ,A,Official figure ,1000 US$,249931.41,275702.03,309846.96,329340.46,323655.15,259096.11,281112.63,Import Value,5622
TCL,Crops and livestock products,40,Austria,F1944,Cereals ,A,Official figure ,1000 US$,513368.94,477019.63,541855.66,531066.92,566041.12,606043.12,735957.03,Import Value,5622
TCL,Crops and livestock products,40,Austria,F1887,Dairy Products ,A,Official figure ,1000 US$,769454.85,792245.44,879275.37,977352.48,918264.21,965893.65,1006885.84,Import Value,5622
TCL,Crops and livestock products,40,Austria,F1782,Eggs ,A,Official figure ,1000 US$,69715.94,61725.06,76401.93,85810.9,83454.58,74795.04,56365.75,Import Value,5622
TCL,Crops and livestock products,40,Austria,F1892,Fodder and Feeding Stuff ,A,Official figure ,1000 US$,765758.96,670396.11,799907.46,855134.93,849905.26,974581.37,1068654.62,Import Value,5622
TCL,Crops and livestock products,40,Austria,F1802,Fruit ,A,Official figure ,1000 US$,1441899.65,1574525.48,1657292.85,1701249.02,1584999.34,1745017.06,1898930.73,Import Value,5622
TCL,Crops and livestock products,40,Austria,F1773,Nuts ,A,Official figure ,1000 US$,361274.87,303761.67,318943.17,318885.03,299206.55,352141.44,321689.06,Import Value,5622
TCL,Crops and livestock products,40,Austria,F2073,Pigmeat (meat equivalent) ,A,Official figure ,1000 US$,459422.26,472475.08,508181.72,476552.11,516735.66,480547.86,473318.65,Import Value,5622
TCL,Crops and livestock products,40,Austria,F2074,Poultry Meat ,A,Official figure ,1000 US$,421119.13,420059.21,434292.49,479772.49,454341.46,381558.67,434137.69,Import Value,5622
TCL,Crops and livestock products,40,Austria,F1719,Roots and Tubers ,A,Official figure ,1000 US$,71293.53,77313.56,79952.29,93119.93,111046.91,104086.37,97793.52,Import Value,5622
TCL,Crops and livestock products,40,Austria,F1734,Vegetables ,A,Official figure ,1000 US$,803576.93,837770.18,921986.3,975361.05,966573.31,975382.57,1066305.97,Import Value,5622
TCL,Crops and livestock products,56,Belgium,F2071,Bovine Meat ,A,Official figure ,1000 US$,922028.52,895337.26,1003263.22,1055915.56,831379.53,783825.24,895198.71,Export Value,5922
TCL,Crops and livestock products,56,Belgium,F1944,Cereals ,A,Official figure ,1000 US$,614180.98,558993.31,570746.55,606045.23,542891.35,655669.15,738671.81,Export Value,5922
TCL,Crops and livestock products,56,Belgium,F1887,Dairy Products ,A,Official figure ,1000 US$,2856192.89,2852267.12,3612736.18,3832793.88,3719235.72,3789325.87,4196225.92,Export Value,5922
TCL,Crops and livestock products,56,Belgium,F1782,Eggs ,A,Official figure ,1000 US$,221577.62,203751.03,225856.28,250465.63,209739.73,235639.06,250846.03,Export Value,5922
TCL,Crops and livestock products,56,Belgium,F1892,Fodder and Feeding Stuff ,A,Official figure ,1000 US$,2262708.93,2294090.83,2393306.94,2405203.97,2382939.53,2638726.11,2986612.98,Export Value,5922
TCL,Crops and livestock products,56,Belgium,F1802,Fruit ,A,Official figure ,1000 US$,3789644.42,3840480.59,4070951.49,3741918.94,3365752.07,3600210.76,3597737.8,Export Value,5922
TCL,Crops and livestock products,56,Belgium,F1773,Nuts ,A,Official figure ,1000 US$,320380.1,321956.32,306803.76,322157.24,340877.12,244436.05,277251.02,Export Value,5922
TCL,Crops and livestock products,56,Belgium,F2073,Pigmeat (meat equivalent) ,A,Official figure ,1000 US$,1505685.69,1521187.76,1659543.43,1598001.15,1711798.61,1763197.36,1775107.36,Export Value,5922
TCL,Crops and livestock products,56,Belgium,F2074,Poultry Meat ,A,Official figure ,1000 US$,1126746.98,1121462.38,1317475.2,1377440.12,1202689.07,1195549.47,1373231.91,Export Value,5922
TCL,Crops and livestock products,56,Belgium,F1719,Roots and Tubers ,A,Official figure ,1000 US$,1644187.98,1862195.55,2013309.32,2258361.56,2527507.31,2373151.16,2569526.95,Export Value,5922
TCL,Crops and livestock products,56,Belgium,F1734,Vegetables ,A,Official figure ,1000 US$,2865991.77,2981030.65,3138493.39,3165642.16,3072627.13,3296904.2,3445254.23,Export Value,5922
