Country,alpha-2,alpha-3,country-code,iso_3166-2
Austria,AT,AUT,40,ISO 3166-2:AT
Belgium,BE,BEL,56,ISO 3166-2:BE
Bulgaria,BG,BGR,100,ISO 3166-2:BG
Croatia,HR,HRV,191,ISO 3166-2:HR
Cyprus,CY,CYP,196,ISO 3166-2:HR
Czech Republic,CZ,CZE,203,ISO 3166-2:CZ
Denmark,DK,DNK,208,ISO 3166-2:DK
Estonia,EE,EST,233,ISO 3166-2:EE
Finland,FI,FIN,246,ISO 3166-2:FI
France,FR,FRA,250,ISO 3166-2:FR
Germany,DE,DEU,276,ISO 3166-2:DE
Greece,GR,GRC,300,ISO 3166-2:GR
Hungary,HU,HUN,348,ISO 3166-2:HU
Ireland,IE,IRL,372,ISO 3166-2:IE
Italy,IT,ITA,380,ISO 3166-2:IT
Latvia,LV,LVA,428,ISO 3166-2:LV
Lithuania,LT,LTU,440,ISO 3166-2:LT
Luxembourg,LU,LUX,442,ISO 3166-2:LU
Malta,MT,MLT,470,ISO 3166-2:MT
Netherlands,NL,NLD,528,ISO 3166-2:NL
Poland,PL,POL,616,ISO 3166-2:PL
Portugal,PT,PRT,620,ISO 3166-2:PT
Romania,RO,ROU,642,ISO 3166-2:RO
Slovakia,SK,SVK,703,ISO 3166-2:SK
Slovenia,SI,SVN,705,ISO 3166-2:SI
Spain,ES,ESP,724,ISO 3166-2:ES
Sweden,SE,SWE,752,ISO 3166-2:SE
